ETid,Country,Date,Fine,Fine_cleaned,Controller,Quoted_Art,Type,Source,year
ETid-948,NORWAY,2021-11-24,"98,000",98000,Norwegian State Pension Fund (SPK),"Art. 5 (1) c), e) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR",Insufficient legal basis for data processing,link,2021
ETid-112,CZECH REPUBLIC,Unknown,980,980,Individual entrepreneur - no further details published,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,Unkn
ETid-568,HUNGARY,2020-12-16,"97,150",97150,Unknown,"Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR, Art. 12 GDPR",Insufficient legal basis for data processing,link,2020
ETid-1181,NORWAY,2022-03-15,"9,700",9700,Company,"Art. 6 (1) GDPR, Art. 13 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,link link,2022
ETid-530,NORWAY,2021-01-19,"9,700",9700,Aquateknikk AS,"Art. 5 GPDR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2021
ETid-514,NORWAY,2021-01-06,"9,700",9700,Lindstrand Trading AS,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2021
ETid-811,SPAIN,2021-08-03,"96,000",96000,"Vodafone España, S.A.U.","Art. 6 (1) GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link,2021
ETid-1632,POLAND,2022-11-30,"9,600",9600,PIONIER (law firm),"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link link,2022
ETid-1325,SPAIN,2022-08-01,"9,600",9600,"LAST LAP, S.L.","Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link,2022
ETid-809,NORWAY,2021-08-12,"9,600",9600,Waxing Palace AS,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link,2021
ETid-81,SPAIN,Unknown,"9,600",9600,"Restaurant (SANTI 3000, S.L.)","Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,Unkn
ETid-1570,POLAND,Unknown,960,960,Unknown,Art. 58 GDPR,Insufficient cooperation with supervisory authority,link,Unkn
ETid-700,NORWAY,2021-05-18,"95,500",95500,Innovasjon Norge,"Art. 5 (1) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,link,2021
ETid-507,NORWAY,2021-01-04,"95,500",95500,Innovasjon Norge,"Art. 5 (1) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,link,2021
ETid-871,AUSTRIA,2021-09-28,"9,500,000",9500000,Austrian Post,Art. 12 (2) GDPR,Insufficient fulfilment of data subjects rights,link link,2021
